epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6967,1.93368,4.20643,1.54525,0.00034,0.01587,5e-05,3e-05,1.49277,4.23684,1.39783,7.145e-05,7.145e-05,7.145e-05
2,38.302,1.62237,3.7119,1.24529,0.00739,0.52899,0.0255,0.00715,1.45456,4.03562,1.17531,0.000154078,0.000154078,0.000154078
3,57.0954,1.55711,3.10296,1.1993,0.00819,0.60179,0.02224,0.00885,1.36264,3.9799,1.14551,0.00023331,0.00023331,0.00023331
4,75.8793,1.53777,2.57892,1.1931,0.00816,0.60973,0.01875,0.00955,1.338,3.89437,1.11221,0.000309147,0.000309147,0.000309147
5,95.0648,1.46486,2.13117,1.15057,0.00754,0.55832,0.10043,0.06583,1.35241,3.79608,1.10495,0.000381589,0.000381589,0.000381589
6,114.343,1.50308,1.91699,1.19185,0.00707,0.54762,0.14129,0.10691,1.3592,3.73332,1.1132,0.000450635,0.000450635,0.000450635
7,133.826,1.46714,1.62127,1.15151,0.00702,0.55418,0.30367,0.22217,1.30701,3.70489,1.12359,0.000516286,0.000516286,0.000516286
8,154.201,1.39919,1.51215,1.13485,0.00599,0.49724,0.31846,0.24849,1.34459,3.64972,1.14352,0.000578542,0.000578542,0.000578542
9,174.996,1.44915,1.51693,1.14829,0.00501,0.44444,0.35376,0.26031,1.37233,3.53771,1.14264,0.000637403,0.000637403,0.000637403
10,195.838,1.41503,1.44624,1.16955,0.00472,0.42063,0.34089,0.26362,1.3567,3.5066,1.15613,0.000692868,0.000692868,0.000692868
11,216.374,1.42364,1.39884,1.101,0.75526,0.22262,0.34692,0.26424,1.38922,3.35955,1.17486,0.000744938,0.000744938,0.000744938
12,237.631,1.34469,1.33273,1.09921,0.75603,0.08729,0.34757,0.27168,1.41281,3.39128,1.18174,0.000793612,0.000793612,0.000793612
13,262.999,1.39796,1.3035,1.11156,0.77209,0.13803,0.52873,0.3509,1.394,3.20779,1.16125,0.000838892,0.000838892,0.000838892
14,285.664,1.3251,1.35024,1.0874,0.73097,0.20836,0.57955,0.36807,1.41695,2.96929,1.17953,0.000880776,0.000880776,0.000880776
15,308.224,1.38787,1.32713,1.12991,0.70993,0.17576,0.57804,0.35801,1.45041,3.07459,1.20329,0.000919264,0.000919264,0.000919264
16,331.891,1.41855,1.29952,1.16079,0.69788,0.24173,0.61251,0.36839,1.46705,2.85487,1.20828,0.000954358,0.000954358,0.000954358
17,354.085,1.32652,1.27089,1.11913,0.72309,0.30762,0.66648,0.40834,1.4243,2.58311,1.1846,0.000976293,0.000976293,0.000976293
18,378.066,1.31213,1.21465,1.10506,0.81395,0.54643,0.7756,0.48785,1.37203,2.1909,1.16573,0.000947999,0.000947999,0.000947999
19,401.173,1.29466,1.17613,1.11261,0.78251,0.60958,0.7449,0.45793,1.40335,2.1947,1.18556,0.000919704,0.000919704,0.000919704
20,423.976,1.27691,1.20264,1.07039,0.82431,0.69404,0.80053,0.46918,1.46619,2.02524,1.2077,0.00089141,0.00089141,0.00089141
21,445.828,1.2561,1.17701,1.06795,0.80877,0.794,0.79875,0.4619,1.45477,1.89586,1.20668,0.000863116,0.000863116,0.000863116
22,468.069,1.24901,1.13721,1.07604,0.87075,0.82479,0.85451,0.50096,1.35915,1.55887,1.15729,0.000834822,0.000834822,0.000834822
23,489.798,1.20054,1.1532,1.04167,0.89052,0.85529,0.85869,0.49673,1.34931,1.47797,1.1545,0.000806528,0.000806528,0.000806528
24,512.114,1.2226,1.13407,1.03736,0.91229,0.8706,0.89281,0.52207,1.33147,1.44926,1.14457,0.000778233,0.000778233,0.000778233
25,534.217,1.21824,1.08793,1.02588,0.90477,0.83426,0.88704,0.53083,1.3177,1.37912,1.13753,0.000749939,0.000749939,0.000749939
26,556.637,1.1909,1.08668,1.03542,0.91692,0.794,0.87599,0.52914,1.31579,1.25921,1.12132,0.000721645,0.000721645,0.000721645
27,578.305,1.16644,1.01185,1.02241,0.94457,0.81892,0.91034,0.53846,1.31551,1.17469,1.12477,0.000693351,0.000693351,0.000693351
28,600.668,1.1758,1.05991,1.0185,0.85912,0.90143,0.89003,0.54714,1.29457,1.12085,1.11338,0.000665057,0.000665057,0.000665057
29,622.385,1.15734,1.06528,1.03381,0.86531,0.87854,0.90051,0.5548,1.28249,1.15135,1.10703,0.000636762,0.000636762,0.000636762
30,644.429,1.14641,1.02653,1.01604,0.85206,0.91638,0.91986,0.54977,1.29604,1.12878,1.11454,0.000608468,0.000608468,0.000608468
31,666.476,1.15432,1.0094,1.01777,0.83581,0.90226,0.90896,0.57038,1.29876,1.10596,1.11755,0.000580174,0.000580174,0.000580174
32,691.956,1.09071,0.99182,1.00641,0.87784,0.86404,0.92094,0.56328,1.32239,1.08756,1.12694,0.00055188,0.00055188,0.00055188
33,716.038,1.09565,0.99025,1.00907,0.91124,0.82295,0.91155,0.56981,1.33245,1.07855,1.13841,0.000523586,0.000523586,0.000523586
34,738.86,1.12348,1.03724,1.01595,0.8417,0.91847,0.90624,0.55557,1.31361,1.08928,1.13845,0.000495291,0.000495291,0.000495291
35,761.931,1.10663,0.95632,1.02515,0.83903,0.91546,0.89709,0.55274,1.30958,1.09715,1.13739,0.000466997,0.000466997,0.000466997
36,783.702,1.11293,0.95977,1.00544,0.92202,0.90225,0.92166,0.57343,1.30559,1.06644,1.13701,0.000438703,0.000438703,0.000438703
37,805.237,1.08773,0.94357,0.97819,0.91188,0.89286,0.92409,0.5761,1.30047,1.04888,1.12822,0.000410409,0.000410409,0.000410409
38,826.982,1.11704,0.95415,1.01188,0.87942,0.90526,0.91566,0.57064,1.28082,1.03933,1.11115,0.000382115,0.000382115,0.000382115
39,849.454,1.06773,0.94446,0.99438,0.8597,0.91217,0.91794,0.5676,1.26595,1.04487,1.10523,0.00035382,0.00035382,0.00035382
40,871.505,1.07609,0.95403,0.99427,0.87661,0.93469,0.93023,0.5631,1.28512,1.0615,1.11659,0.000325526,0.000325526,0.000325526
41,892.97,1.0278,0.91219,0.96789,0.85612,0.91684,0.92596,0.56387,1.31195,1.06051,1.12855,0.000297232,0.000297232,0.000297232
42,914.89,1.01601,0.89405,0.9689,0.86686,0.92866,0.92915,0.55335,1.34345,1.08418,1.14611,0.000268938,0.000268938,0.000268938
43,936.103,0.97971,0.88243,0.9673,0.87537,0.93262,0.93544,0.5518,1.33314,1.08295,1.14305,0.000240644,0.000240644,0.000240644
44,957.585,1.02918,0.93277,0.99557,0.92954,0.87414,0.93952,0.56348,1.2985,1.03818,1.1326,0.000212349,0.000212349,0.000212349
45,979.478,0.9779,0.90636,0.95419,0.95087,0.86989,0.94291,0.56536,1.29231,1.01769,1.13248,0.000184055,0.000184055,0.000184055
46,1001.5,0.97798,0.86731,0.95198,0.94388,0.90097,0.9484,0.56191,1.28996,0.99046,1.13537,0.000155761,0.000155761,0.000155761
47,1023.01,0.96633,0.86127,0.95738,0.97625,0.88078,0.94955,0.56011,1.29546,0.99186,1.13635,0.000127467,0.000127467,0.000127467
48,1044.66,0.94875,0.8674,0.95377,0.94715,0.88509,0.94634,0.55547,1.31009,0.98228,1.14458,9.91726e-05,9.91726e-05,9.91726e-05
49,1066.28,0.9626,0.85687,0.95988,0.96064,0.88885,0.94575,0.5608,1.3083,0.97864,1.14612,7.08784e-05,7.08784e-05,7.08784e-05
50,1087.77,0.97042,0.8549,0.96325,0.94797,0.89303,0.94421,0.56456,1.30454,0.97651,1.14261,4.25842e-05,4.25842e-05,4.25842e-05
