epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8434,1.8555,4.55469,4.25772,1.47903,0,0.00214,0.1401,0.00074,0.00026,0.00237,0.15597,0.0009,0.00023,1.44498,3.58211,4.20492,1.30069,0,7.145e-05,7.145e-05,7.145e-05
2,25.4087,1.59556,3.37202,3.87057,1.15103,0,0.00729,0.56108,0.06568,0.02991,0.00678,0.5176,0.03158,0.00989,1.3823,3.2906,3.93433,1.09008,0,0.000154078,0.000154078,0.000154078
3,36.3603,1.50955,2.98586,3.37529,1.09874,0,0.00819,0.64286,0.2433,0.11943,0.00764,0.598,0.10414,0.03452,1.3445,2.87212,3.84777,1.07347,0,0.00023331,0.00023331,0.00023331
4,47.6662,1.47489,2.76075,2.96468,1.09429,0,0.007,0.54244,0.18775,0.06667,0.00656,0.49896,0.06634,0.02592,1.30179,2.97024,3.85608,1.06996,0,0.000309147,0.000309147,0.000309147
5,58.7216,1.49082,2.58933,2.61261,1.09242,0,0.00409,0.31021,0.03046,0.00866,0.00408,0.30366,0.0189,0.0049,1.24661,2.41695,3.79007,1.059,0,0.000381589,0.000381589,0.000381589
6,70.0092,1.55841,2.54928,2.22372,1.1421,0,0.00317,0.34403,0.14369,0.0902,0.0041,0.39303,0.1374,0.06019,1.34136,2.50956,3.73546,1.10999,0,0.000450635,0.000450635,0.000450635
7,81.7408,1.52512,2.37887,1.894,1.11639,0,0.00306,0.36508,0.31148,0.21639,0.00404,0.37992,0.29209,0.08954,1.41919,2.61815,3.70148,1.15191,0,0.000516286,0.000516286,0.000516286
8,93.2959,1.38334,2.19679,1.63997,1.09008,0,0.00355,0.38095,0.3115,0.24806,0.00537,0.44859,0.30356,0.09488,1.33321,3.019,3.72765,1.12513,0,0.000578542,0.000578542,0.000578542
9,104.572,1.48185,2.21376,1.61389,1.11326,0,0.0048,0.42202,0.33935,0.22316,0.00735,0.53451,0.32808,0.15971,1.45396,2.72979,3.68788,1.15472,0,0.000637403,0.000637403,0.000637403
10,115.932,1.41924,2.20113,1.50506,1.10412,0,0.00651,0.51587,0.41239,0.28391,0.00796,0.5873,0.42987,0.20906,1.33265,2.33382,3.51872,1.09621,0,0.000692868,0.000692868,0.000692868
11,127.027,1.46079,2.22097,1.49299,1.07288,0,0.00752,0.57143,0.42828,0.31625,0.00819,0.59662,0.45055,0.23174,1.38753,2.19776,3.34311,1.11381,0,0.000744938,0.000744938,0.000744938
12,138.278,1.37865,2.07447,1.39735,1.07356,0,0.84193,0.06652,0.39868,0.30554,0.89462,0.07445,0.42624,0.21736,1.38118,2.34669,3.21587,1.13022,0,0.000793612,0.000793612,0.000793612
13,149.33,1.43272,2.13723,1.37936,1.09036,0,0.83085,0.06411,0.41763,0.3197,0.83085,0.06411,0.42791,0.22237,1.33752,2.19377,3.19531,1.12076,0,0.000838892,0.000838892,0.000838892
14,160.256,1.40137,2.01073,1.38162,1.09376,0,0.89794,0.06706,0.43534,0.31269,1,0.075,0.3952,0.164,1.4305,2.69709,3.06561,1.13702,0,0.000880776,0.000880776,0.000880776
15,171.617,1.39576,2.41357,1.34777,1.0861,0,0.8547,0.214,0.46224,0.32142,0.88156,0.22194,0.46076,0.22582,1.43482,2.23212,2.89295,1.13292,0,0.000919264,0.000919264,0.000919264
16,182.453,1.39967,1.99014,1.33036,1.09311,0,0.7596,0.42464,0.44247,0.31854,0.77273,0.4369,0.45608,0.21709,1.45813,2.22337,2.69715,1.12819,0,0.000954358,0.000954358,0.000954358
17,193.394,1.35453,2.11551,1.29043,1.07376,0,0.77466,0.47556,0.47766,0.34512,0.78622,0.49143,0.52096,0.26295,1.46506,2.0325,2.61816,1.13028,0,0.000976293,0.000976293,0.000976293
18,204.444,1.311,2.09586,1.22959,1.03632,0,0.82332,0.4896,0.65776,0.41595,0.84431,0.50157,0.68903,0.34208,1.43752,2.07979,2.40506,1.1105,0,0.000947999,0.000947999,0.000947999
19,215.299,1.31718,2.07176,1.23082,1.0633,0,0.83918,0.50689,0.68671,0.42017,0.84794,0.50794,0.70066,0.35107,1.45503,2.06331,2.3219,1.12461,0,0.000919704,0.000919704,0.000919704
20,226.429,1.28753,1.91251,1.24545,1.03958,0,0.80173,0.5,0.74631,0.46865,0.81673,0.51587,0.77345,0.3845,1.35039,2.05188,2.06707,1.09461,0,0.00089141,0.00089141,0.00089141
21,237.185,1.28279,1.80502,1.19775,1.02582,0,0.82047,0.53175,0.7541,0.46657,0.82047,0.53175,0.79023,0.41346,1.35331,2.05388,1.9502,1.09204,0,0.000863116,0.000863116,0.000863116
22,248.143,1.23328,1.74299,1.13191,1.03566,0,0.77063,0.70592,0.81321,0.48238,0.77063,0.70592,0.81712,0.42504,1.3646,1.98142,1.73619,1.08804,0,0.000834822,0.000834822,0.000834822
23,258.83,1.22684,1.77772,1.16744,1.01662,0,0.81306,0.80154,0.84034,0.49806,0.81306,0.80154,0.85469,0.42147,1.32866,1.9114,1.7312,1.07742,0,0.000806528,0.000806528,0.000806528
24,269.658,1.29534,1.81786,1.18054,1.02934,0,0.86141,0.81535,0.87827,0.51705,0.86141,0.81535,0.88668,0.449,1.29414,1.95891,1.6393,1.07531,0,0.000778233,0.000778233,0.000778233
25,280.435,1.26874,1.86883,1.14076,1.01016,0,0.82591,0.82168,0.87146,0.53503,0.83878,0.80642,0.85925,0.44096,1.32113,2.03998,1.55826,1.09729,0,0.000749939,0.000749939,0.000749939
26,291.162,1.21646,1.72044,1.11672,1.02045,0,0.83827,0.87332,0.89414,0.52529,0.83399,0.85093,0.87725,0.45681,1.32284,1.89781,1.4186,1.0927,0,0.000721645,0.000721645,0.000721645
27,302.164,1.15605,1.66262,1.06402,0.99169,0,0.84504,0.86049,0.89507,0.55052,0.84541,0.84552,0.88666,0.47103,1.2819,1.84772,1.33017,1.08468,0,0.000693351,0.000693351,0.000693351
28,312.756,1.1587,1.75369,1.06414,0.99435,0,0.87211,0.8737,0.91488,0.56127,0.86327,0.877,0.91589,0.47399,1.25809,1.79829,1.1816,1.0736,0,0.000665057,0.000665057,0.000665057
29,323.476,1.16325,1.71082,1.09253,1.00058,0,0.8935,0.86736,0.91228,0.56645,0.90108,0.87842,0.93041,0.47011,1.24662,1.80796,1.17467,1.07644,0,0.000636762,0.000636762,0.000636762
30,334.413,1.15393,1.65421,1.05414,1.00303,0,0.86695,0.86309,0.91514,0.57868,0.87977,0.89784,0.93784,0.49737,1.20895,1.77167,1.13831,1.06814,0,0.000608468,0.000608468,0.000608468
31,345.091,1.14998,1.63943,1.02264,0.99185,0,0.86394,0.91714,0.92563,0.57464,0.87719,0.93216,0.94232,0.51226,1.23815,1.83709,1.093,1.07712,0,0.000580174,0.000580174,0.000580174
32,355.823,1.08073,1.62478,0.99203,0.97944,0,0.87714,0.9089,0.9203,0.58834,0.87615,0.91028,0.91306,0.5154,1.26656,1.8343,1.08501,1.09083,0,0.00055188,0.00055188,0.00055188
33,366.474,1.09782,1.50452,0.99443,0.97726,0,0.88914,0.89603,0.91719,0.58418,0.88604,0.89741,0.91433,0.51894,1.27394,1.79048,1.05248,1.0886,0,0.000523586,0.000523586,0.000523586
34,377.528,1.11073,1.56363,1.04739,0.96877,0,0.88996,0.92607,0.92049,0.57165,0.90426,0.94138,0.93567,0.498,1.29232,1.80965,1.05294,1.09954,0,0.000495291,0.000495291,0.000495291
35,387.934,1.12191,1.58738,1.00191,0.97902,0,0.90908,0.87251,0.91664,0.56678,0.89919,0.9089,0.92682,0.49514,1.32913,1.86587,1.06106,1.12029,0,0.000466997,0.000466997,0.000466997
36,398.735,1.11653,1.58837,0.98438,0.96896,0,0.89676,0.88738,0.93297,0.55753,0.91126,0.90278,0.93849,0.50921,1.33132,1.86184,1.08163,1.11596,0,0.000438703,0.000438703,0.000438703
37,409.298,1.11058,1.51303,0.97548,0.96289,0,0.93022,0.85645,0.9367,0.56418,0.92935,0.88278,0.94662,0.48212,1.32061,1.81502,1.08719,1.11532,0,0.000410409,0.000410409,0.000410409
38,419.596,1.15163,1.61313,0.98412,0.98488,0,0.95968,0.87784,0.94322,0.55906,0.89317,0.89884,0.93272,0.49464,1.30626,1.79525,1.06508,1.12082,0,0.000382115,0.000382115,0.000382115
39,430.304,1.09911,1.63038,0.9858,0.97698,0,0.97051,0.89581,0.95057,0.5738,0.95486,0.88433,0.93794,0.50847,1.30335,1.81466,1.03796,1.12261,0,0.00035382,0.00035382,0.00035382
40,441.56,1.08917,1.57443,0.95875,0.97214,0,0.95445,0.91461,0.94756,0.57473,0.95445,0.91461,0.95298,0.50037,1.28326,1.86099,1.0071,1.09428,0,0.000325526,0.000325526,0.000325526
41,451.887,1.03761,1.4923,0.9272,0.94383,0,0.92731,0.88509,0.90592,0.56559,0.95223,0.90752,0.95346,0.50072,1.27861,1.82031,0.99644,1.08751,0,0.000297232,0.000297232,0.000297232
42,462.241,1.0534,1.50197,0.94378,0.96129,0,0.9144,0.91875,0.91798,0.56251,0.92984,0.93447,0.94493,0.47874,1.26786,1.8811,1.00677,1.11073,0,0.000268938,0.000268938,0.000268938
43,472.759,1.02856,1.43565,0.92483,0.9682,0,0.92696,0.91712,0.92407,0.56626,0.95054,0.93905,0.95535,0.48883,1.25294,1.85568,0.99604,1.09948,0,0.000240644,0.000240644,0.000240644
44,483.151,1.01293,1.44404,0.92481,0.96173,0,0.90427,0.93326,0.93885,0.58247,0.91911,0.94889,0.9592,0.49764,1.2449,1.78414,0.99133,1.07398,0,0.000212349,0.000212349,0.000212349
45,493.298,0.99039,1.43205,0.92166,0.9355,0,0.91264,0.93977,0.94793,0.58119,0.91989,0.94737,0.95953,0.51047,1.25045,1.78248,0.99241,1.07227,0,0.000184055,0.000184055,0.000184055
46,503.8,0.97324,1.34359,0.89766,0.92772,0,0.92331,0.9432,0.951,0.58574,0.9392,0.93098,0.95705,0.5135,1.23251,1.76048,0.97122,1.07053,0,0.000155761,0.000155761,0.000155761
47,514.139,0.94015,1.30332,0.85789,0.93339,0,0.94055,0.93319,0.94876,0.59406,0.94841,0.9405,0.95797,0.52109,1.22459,1.75747,0.962,1.06987,0,0.000127467,0.000127467,0.000127467
48,524.588,0.94726,1.37472,0.8655,0.92794,0,0.95711,0.92977,0.95563,0.59791,0.93752,0.95376,0.95462,0.52512,1.21776,1.76928,0.97121,1.07143,0,9.91726e-05,9.91726e-05,9.91726e-05
49,535.043,0.96719,1.39647,0.87534,0.93493,0,0.94924,0.92563,0.95052,0.60197,0.94141,0.95244,0.95433,0.51764,1.21745,1.77,0.96775,1.07091,0,7.08784e-05,7.08784e-05,7.08784e-05
50,545.544,0.96122,1.35418,0.86816,0.94255,0,0.96859,0.93473,0.95667,0.6059,0.9612,0.94078,0.96462,0.52024,1.21237,1.76151,0.96056,1.06735,0,4.25842e-05,4.25842e-05,4.25842e-05
